Name,UUID,Amount,Unit,GWP (AR5) [kg CO2 eq],AP [kg SO2 eq],EP [kg N eq],ODP [kg CFC-11 eq],POCP [kg O3 eq],CO2 [kg],N2O [kg],CH4 [kg]
petroleum extraction and processing - RFO PADD 2,dc23b370-e5cb-30b6-8245-d5801cc0f7d5,1.0,MJ,0.0148529233190526,1.1991890600658284e-05,7.14306491325047e-07,2.1155380661766178e-11,0.00032149679220389764,0.011404495392848915,1.0942115555562434e-07,0.00012199889411593996
"Electricity; at grid; consumption mix - New Smyrna Beach, Utilities Commission of - BA",e63d16a5-d112-3572-9a5e-fab2bfcbedfd,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; generation mix - Seattle City Light,bfb38097-2bcd-3b0b-8322-30c9c40b6600,1.0,MJ,0.0008414319616703053,9.788177153069593e-06,6.180108935855832e-07,0.0,0.00034702137723291286,0.0008363772762707341,7.276181040871748e-10,1.7363809292814715e-07
Electricity; at grid; consumption mix - PacifiCorp East - BA,a9eed0a6-6813-3083-881a-ce9f6856fe0f,1.0,MJ,0.23140392083741468,0.00043793393851079967,1.9830835682976834e-05,4.968022601919904e-09,0.008988390686632314,0.22417720242274466,3.4570478326904644e-06,0.00022399613173787155
Electricity; at user; consumption mix - PJM - FERC,a2522eb7-a557-3242-8d26-042fc4b41195,1.0,MJ,0.15723886174669735,0.00032244384422488065,1.56418562419157e-05,2.089768104765269e-09,0.005460880077459704,0.14508785533098392,2.0765270432827823e-06,0.0004121015487154048
Electricity; at user; consumption mix - NorthWestern Corporation - BA,d640a8aa-93b2-3d0e-8012-24b79ead9694,1.0,MJ,0.20947546581313972,0.000393543696575145,1.580431848424954e-05,4.828764771768476e-09,0.006271156877175132,0.20544470950463045,3.1549011742507902e-06,0.00011274629920847428
Electricity; at grid; consumption mix - NorthWestern Corporation - BA,fdf79353-fbd3-30b4-aa15-267a212b9da4,1.0,MJ,0.2040832928756376,0.00038341336621803293,1.5397494620196382e-05,4.704466040063447e-09,0.0061097290829049515,0.20015629351546615,3.0736898845837514e-06,0.00010984406175056708
petroleum extraction and processing - DFO PADD 4,f38c3ec6-e800-3722-ae22-f990273aa501,1.0,MJ,0.01804412898832746,1.7862842320704847e-05,9.241750256263668e-07,1.600844297395087e-11,0.0004373489530781448,0.014510168465763605,1.7382584626570384e-07,0.00012416450792362277
Electricity; at grid; consumption mix - Florida Municipal Power Pool - BA,d1e20ef2-31c8-3305-969a-e008341a50e1,1.0,MJ,0.19307881457841375,0.00031928622929017794,1.8057408485123914e-05,2.074424002237289e-09,0.00770737526102948,0.1842948051698533,2.0261794471099557e-06,0.0002933861548326307
"Electricity; at grid; consumption mix - Arlington Valley, LLC - AVBA - BA",d7f09b44-a4d6-3b83-9a11-28e977c200ee,1.0,MJ,0.1608219098606046,0.00024274667082585413,1.6873698268005695e-05,1.507077061623079e-10,0.008556270724393926,0.1355573197741549,4.981403738628811e-07,0.0008969491307674207
Electricity; at grid; consumption mix - Tampa Electric Company - BA,c06b0df8-1d75-39c6-aa87-49100c889658,1.0,MJ,0.20814820242084703,0.00041658627577683224,2.1455270583514478e-05,1.9302590292389524e-09,0.008973782399084073,0.19800763485622053,2.4710269672715476e-06,0.00033761484910407885
Electricity; at grid; generation mix - New York Independent System Operator,f9a4fbd6-1c28-3cae-9e49-d4d48f2ac7ba,1.0,MJ,0.09302492928324635,0.00020180405103691645,1.4394318305463838e-05,2.6487935748403283e-10,0.005391041426085845,0.08775970829613965,7.615733385674842e-07,0.0001793189375203695
Electricity; at grid; generation mix - Western Area Power Administration - Desert Southwest Region,a09a80f0-84ca-3b65-81d9-984eb4fd5d14,1.0,MJ,0.05770811315687669,0.00011046678108754039,7.019492373784608e-06,1.0886078351395902e-09,0.0029703534846581173,0.05411717325017586,6.662175259974202e-07,0.0001213868362385705
Electricity; at grid; consumption mix - PowerSouth Energy Cooperative - BA,b11b441f-ee64-3f38-b52a-8ad61471cec0,1.0,MJ,0.20581441525453462,0.0004021861887605875,2.4791688901392244e-05,1.981804245509986e-09,0.011260199732560108,0.1957411038967901,1.790983942810674e-06,0.0003416114137372629
Electricity; at user; consumption mix - Turlock Irrigation District - BA,dc255d13-6512-372d-8738-48739679d529,1.0,MJ,0.1275699242004043,0.00020887545758860966,1.5409500369145522e-05,3.72640888530297e-10,0.007683014669318524,0.11552830200610344,6.66730934279149e-07,0.00042267738167724693
"Electricity; at grid; generation mix - Gila River Power, LLC",fa3c1da6-732d-3554-93ec-6e9dd02a6705,1.0,MJ,0.1563215262135334,0.0004400904530133872,2.955832248881394e-05,1.6665318198011267e-10,0.015388421838897699,0.13205055369613736,4.883168480889168e-07,0.0008614877175345414
Electricity; at grid; generation mix - Gainesville Regional Utilities,d4031d82-ca6e-3548-b07c-2acd79f47a3f,1.0,MJ,0.23715198880884142,0.0003640706509798208,2.4089614473970884e-05,2.360833979305677e-09,0.01050167963240132,0.22868986924179605,2.367018649425531e-06,0.00027814553389168817
"Electricity; at user; consumption mix - Arlington Valley, LLC - AVBA - BA",c8caa143-b258-3aa7-8c7e-4615424941eb,1.0,MJ,0.16686477889441617,0.00025186785550439613,1.7507725987474964e-05,1.5637053488704048e-10,0.008877771839821316,0.14065087407082846,5.168579543363157e-07,0.000930651914995743
Electricity; at user; consumption mix - Nevada Power Company - BA,f80d17d0-8756-3933-9b8f-67f55495b5db,1.0,MJ,0.14972049663336573,0.0002670295384860325,1.7103009523331422e-05,5.485359299877204e-10,0.011882765596256634,0.13669707612075876,7.708573583378511e-07,0.00045708089697867933
Electricity; at user; consumption mix - South Carolina Electric & Gas Company - BA,d217ffa6-1cbb-3253-be12-143b6349cc53,1.0,MJ,0.15203445478372743,0.00024748500008404814,1.4470100060533402e-05,1.735482087425909e-09,0.005258184646328319,0.14581668483888957,2.098550410863725e-06,0.00020029886825475966
petroleum extraction and processing - RFO PADD 4,cb4146a8-6e57-37f1-9366-0913ebe21ee4,1.0,MJ,0.0165952945443058,1.4216121081409993e-05,7.184122377241994e-07,1.7005433865064543e-11,0.00033692883638771485,0.013282129929153706,1.525767400667602e-07,0.00011655968380236764
Electricity; at user; consumption mix - Seminole Electric Cooperative - BA,f03e070d-463f-3d2f-82aa-b5bffa1cabd8,1.0,MJ,0.2499610150591906,0.0003864018592445464,1.6660202988952778e-05,3.794344617724922e-09,0.006534266367820181,0.24043587669286748,3.4078876967870963e-06,0.00030659282975592885
Electricity; at user; consumption mix - Western Area Power Administration - Desert Southwest Region - BA,c3557d8e-c91a-3e9c-bb90-47fe970a00ec,1.0,MJ,0.11682066826752585,0.0002177863858862341,1.288481710802622e-05,1.6316800182657019e-09,0.006196858517142057,0.10977383347060335,1.373100300374895e-06,0.00023782314276752194
"Electricity; at user; consumption mix - Gila River Power, LLC - BA",ade9b817-b7d6-3ede-a5f9-34572399bc89,1.0,MJ,0.1621952937299912,0.000456626812847043,3.066897384106993e-05,1.7291516054787543e-10,0.01596664042795752,0.1370123415677011,5.066653104505607e-07,0.0008938580422981931
"Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA",cd9c001f-0160-3ae9-82a5-81decd6beb4f,1.0,MJ,0.20021738489812801,0.0003644738037837887,2.1521461713488436e-05,1.7766596693682225e-09,0.009018233635132572,0.19105373715628052,2.064156801493401e-06,0.00030663784740353613
"Electricity; at grid; consumption mix - Public Utility District No. 2 of Grant County, Washington - BA",ff87ed0b-db00-312a-bca8-2b9f2d3b3456,1.0,MJ,0.0010231225551004784,2.646697737029842e-25,6.89542604547363e-27,0.0,6.291830650643393e-09,0.0010108709875710515,1.5568810217822602e-25,4.3755598319381617e-07
Electricity; at user; consumption mix - Bonneville Power Administration - BA,c3096d7d-a9c4-3a39-9814-65304089d770,1.0,MJ,0.0339486227426921,7.701696705635582e-05,6.28059132345712e-06,6.933188654671603e-10,0.0019118661281038285,0.03233601779334576,3.6036812813027634e-07,5.362203068976368e-05
"Electricity; at grid; generation mix - Public Utility District No. 2 of Grant County, Washington",b591cc47-d607-3875-97df-2b696348855b,1.0,MJ,0.0010231225551004784,2.646697737029842e-25,6.89542604547363e-27,0.0,6.291830650643393e-09,0.0010108709875710515,1.5568810217822602e-25,4.3755598319381617e-07
Electricity; at grid; generation mix - California Independent System Operator,a059f167-f083-3395-b469-d71ef5f784e9,1.0,MJ,0.09946399686286105,0.00021233355058474632,1.604373405724205e-05,3.7610838166578565e-10,0.009078330892350005,0.08975057702536543,7.208133294699743e-07,0.0003388300936718989
"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA",afb0a8ed-7e33-37ec-aa70-2286f8f84935,1.0,MJ,0.17415602104226732,0.0003153085748320109,1.9633689610350293e-05,1.9398939313685752e-09,0.007824782995053835,0.16610462256039238,1.8515121239646443e-06,0.000268355099965971
Electricity; at user; consumption mix - Duke Energy Carolinas - BA,db0fc1d8-d8ca-3875-8058-f9b4b4d01ac5,1.0,MJ,0.10216810436859507,0.00016926026071182102,1.1750353310569536e-05,1.3861937930374803e-09,0.003673086061995741,0.09727954117007352,1.267795370058877e-06,0.00015993468251721034
Electricity; at grid; consumption mix - Turlock Irrigation District - BA,d0481c35-49ba-3f00-9213-1b087ac9198e,1.0,MJ,0.12169460773109349,0.0001992555614908638,1.4699805730145294e-05,3.5547866817747075e-10,0.007329168393219057,0.11020757033911839,6.360242041205927e-07,0.0004032106978382541
Electricity; at grid; generation mix - Idaho Power Company,a82e7fb8-6982-311f-a910-456616f93812,1.0,MJ,0.0300114889188243,7.396086761592056e-05,7.359229045912181e-06,4.781871162414246e-11,0.002454614856220099,0.02743218085825975,1.5192979499904212e-07,9.017748317551239e-05
"Electricity; at grid; generation mix - NaturEner Wind Watch, LLC",fdb04d8f-f47f-3ec0-9e65-c4afc66f38ed,1.0,MJ,0.005357785878758846,1.5080015347659509e-05,9.941729478234027e-06,2.718358847305042e-12,0.00016336585445605686,0.00500948889191063,1.85204323399188e-08,1.1778607938005568e-05
petroleum extraction and processing - DFO PADD 5,b5f585ea-a588-39bb-81dd-fac996980d86,1.0,MJ,0.03691643062049335,4.149035880487058e-05,2.4433614655725126e-06,3.8140610030989327e-11,0.001126527546908443,0.030442017334891137,3.465002200937477e-07,0.00022751352057984544
"Electricity; at user; consumption mix - Duke Energy Florida, Inc. - BA",f41111d1-1668-325a-abd2-a40af161e35d,1.0,MJ,0.21005005404497998,0.00038237310022662277,2.257837998606023e-05,1.8639113669385493e-09,0.009461118790526987,0.20043637986576923,2.1655274737086797e-06,0.0003216968219424151
natural gas extraction and processing - Fort Worth,3bb3995c-5f0f-356d-8811-ed38be5b5def,1.0,MJ,0.015668123453175288,9.29980269317159e-05,5.778304365707125e-06,0.0,0.00327651690807007,0.010160318483954182,1.2605203400771805e-07,0.00019551432781358036
Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,ba6c7a86-9e38-357a-a11b-6fd0945a2e5e,1.0,MJ,0.12460724231015946,0.00024894331354560756,1.7213359651297614e-05,3.176799291994885e-10,0.007397820313513341,0.11715748149436514,9.590803404300339e-07,0.00025578662627150566
petroleum extraction and processing - RFO PADD 3,e66feab0-54e1-347e-bb0a-2e93dca7d48f,1.0,MJ,0.024097616991327092,2.9374176152038814e-05,1.7240844979743495e-06,3.764671820026866e-11,0.0007081426638564179,0.0196002245904687,1.8280440845773202e-07,0.00015870041600709976
Electricity; at user; consumption mix - Portland General Electric Company - BA,ada5f6f3-eba8-35da-9ec4-df88c836ab68,1.0,MJ,0.07366857538026038,0.00016065574470679447,1.1427123505998052e-05,3.3384959117157527e-10,0.00532026503676934,0.0675003979868741,5.81691881991853e-07,0.00021430494468800313
Electricity; at grid; consumption mix - SPP - FERC,f21316ee-5206-3cb6-80ac-9516cfd74abf,1.0,MJ,0.18530487514831925,0.00043071644242700176,1.9650733788241314e-05,3.965252944685864e-09,0.007107382885637373,0.17872249920874855,2.4214494840588694e-06,0.00021069864880656492
Electricity; at grid; consumption mix - Tucson Electric Power - BA,e06c46bf-e2d6-33bf-90e7-1f90eeb98dcb,1.0,MJ,0.2413497524261621,0.00041312977141292733,1.9413110290448668e-05,5.715738864562644e-09,0.007868397338483685,0.23380600657638717,3.560854314107515e-06,0.00023080474184314974
natural gas extraction and processing - East Texas,111b690d-a86d-3388-8980-8fb6f1d1bb34,1.0,MJ,0.015034794567699444,8.562058126058988e-05,5.308944950478842e-06,0.0,0.0029890079361745976,0.009621165131867077,1.266308329020555e-07,0.0001921454379886516
Electricity; at grid; consumption mix - Western Area Power Administration - Rocky Mountain Region - BA,cab7d877-234b-3e69-8b8e-240cb7196021,1.0,MJ,0.2643980701007301,0.0003506231525334107,1.652621559313148e-05,4.26376935247246e-09,0.00721307838110562,0.25823106056220796,3.945474726379449e-06,0.00018154357785164625
natural gas extraction and processing - Arkla,f7770c48-8c5e-31c5-8d0c-c1a216b65ffb,1.0,MJ,0.014246114687069487,8.862821628388241e-05,5.477154418957013e-06,0.0,0.0030093325661301124,0.009763421575119112,1.2943378812691647e-07,0.0001588711841666878
petroleum extraction and processing - DFO PADD 2,bdad9c51-928c-3577-b823-2c81a667c4fb,1.0,MJ,0.018209382272673765,1.7991291206555043e-05,1.0482366902337481e-06,2.0891216224977678e-11,0.0004844056699248745,0.014057213396692907,1.4689570949225e-07,0.00014665022503213224
Electricity; at grid; generation mix - Ohio Valley Electric Corporation,a00ea62a-baec-367d-bcef-35ab852b8f66,1.0,MJ,0.32501095590867785,0.0006337129578995836,2.5020676052784864e-05,6.735429834539221e-09,0.011501942460108064,0.29944216502207566,5.0172788870522395e-06,0.0008636389793943949
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",b42ca74f-a649-32d5-9a9f-6a9846e7af51,1.0,MJ,0.18110686248134292,0.0005124120883296153,2.6743847861918645e-05,2.127460284181732e-09,0.011747768003185582,0.1705349156141438,1.6778511182891537e-06,0.00036038913849271217
"Electricity; at grid; generation mix - Southern Company Services, Inc. - Trans",a69192a9-0193-350f-ae7a-b24357e2838f,1.0,MJ,0.1700641374021918,0.00030767223388900733,1.919430510491311e-05,1.8890905179392065e-09,0.007657136054003446,0.16219860494525165,1.8045453773464996e-06,0.0002622170202092091
Electricity; at grid; generation mix - Hydro-Quebec TransEnergie,ca0ea6b1-b7d8-3972-b5e7-0258f5c70365,1.0,MJ,0.003405796677571575,5.7407192128877276e-06,1.3204271145756127e-05,3.0052559900102037e-10,5.618220225228311e-05,0.003058015283815388,9.582890113900395e-09,1.1585145329189712e-05
Electricity; at grid; generation mix - Florida Municipal Power Pool,df4f9548-b463-3033-9dc7-98fd2ddb11d7,1.0,MJ,0.19593042405142885,0.0002949361549070205,1.6962384658144307e-05,2.232238962009043e-09,0.007149894074640771,0.18638762291076155,2.0747688315199763e-06,0.00032011245968388194
Electricity; at user; consumption mix - PowerSouth Energy Cooperative - BA,c8ef80e2-6e54-3f08-b030-d007405d48c8,1.0,MJ,0.21270808661439244,0.0004156572539790289,2.562207658599961e-05,2.0481839845152487e-09,0.011637355610133735,0.20229737372954912,1.8509722322473012e-06,0.0003530535511413349
natural gas extraction and processing - Appalachian,ed3ccae2-578f-3b4a-bc73-e3e7b4be85cb,1.0,MJ,0.014221207166032413,8.606058929876681e-05,6.35740844056645e-06,0.0,0.0029439777392335138,0.010691196180765184,1.36770926274829e-07,0.00012477738172749514
Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,db982038-127d-3359-ac5b-f55f989ab875,1.0,MJ,0.2581505276066416,0.0003808599998225235,1.859712219802622e-05,3.2135897981897965e-09,0.006814407283348713,0.24884229019514084,4.056690003031408e-06,0.0002922810897077127
natural gas extraction and processing - Permian,830a756a-1b95-38da-bc4b-86f0ca4ee07c,1.0,MJ,0.013944752874751132,8.870923371087726e-05,5.454795713643437e-06,0.0,0.002923034878263919,0.009831002454284692,1.3387208569398319e-07,0.00014565265415439972
natural gas extraction and processing - Green River,5d2c8c18-5a12-39b1-8c45-376615518788,1.0,MJ,0.013925922593318771,8.217135903515063e-05,5.087184576429371e-06,0.0,0.0028474284585762477,0.00947987677538569,1.2757367123654943e-07,0.0001575799569149721
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.",d6a2dbb1-9391-3306-b712-d7706e4eadb8,1.0,MJ,0.1726715066020895,0.000488545635878996,2.5498208291970615e-05,2.0283702531902257e-09,0.011200596004642524,0.16259196589189373,1.5997023883003573e-06,0.0003436034099093086
Electricity; at grid; consumption mix - PacifiCorp West - BA,afd157a1-c37c-3f33-bd41-227114c381f8,1.0,MJ,0.05849570423733727,9.466620111951766e-05,7.89800718781924e-06,5.255668771560441e-10,0.0029101216484596786,0.05455388328330775,6.439337271797879e-07,0.00013428116360282165
"Electricity; at grid; generation mix - New Harquahala Generating Company, LLC - HGBA",a33bcf89-5448-302e-bb89-7f181c41c6a5,1.0,MJ,0.15155701814835826,0.00023255594385607155,1.6311937096789513e-05,1.5656198298098905e-10,0.008187585057299645,0.12752538712648226,4.7532382385560857e-07,0.0008531058388554108
Electricity; at grid; consumption mix - South Carolina Public Service Authority - BA,a32b02de-c81f-3fba-bb48-58f5f5d9c2c8,1.0,MJ,0.2416692823486876,0.0003111316638836659,1.7509715162153545e-05,4.406973705778009e-09,0.006311438574703746,0.22928385579645144,3.254943531198081e-06,0.00040969010511153736
power plant construction - coal_const,5614332b-4bc3-3959-9c83-7f8eb03a734b,1.0,Item(s),26346.933776260474,80.29455840515107,43.70216332639506,0.0058607879850746366,1660.6843983641652,22925.78237528293,0.7684247350004405,86.1705260076552
Electricity; at grid; generation mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company,d48a6fc0-ff40-3124-997a-ba5e7955fef2,1.0,MJ,0.259072532623223,0.0003815270473441146,1.864009508141909e-05,3.2220454849971314e-09,0.0068301456562570514,0.24973850275516282,4.074605878087619e-06,0.00029303420596363716
Electricity; at grid; generation mix - Tennessee Valley Authority,ee71aa8d-c4d2-35b3-b515-f4f7052a3a8b,1.0,MJ,0.13887486712706434,0.00029456704883182403,1.3037912695672429e-05,2.119715458446145e-09,0.004778404452825845,0.1329032843282786,1.7389934699664886e-06,0.00019485381195128145
petroleum extraction and processing - RFO PADD 5,ae9b0228-e29a-3e91-91fa-3855285b663c,1.0,MJ,0.0198458430149563,2.008211520192235e-05,1.1850691028176215e-06,2.407503738163063e-11,0.0005374587274253133,0.016346978443439422,1.8370778878179012e-07,0.00012304856093921544
Electricity; at grid; generation mix - Arizona Public Service Company,ee9eb53a-3a0f-31cb-b1f3-ab3588e72891,1.0,MJ,0.2255778313326937,0.0005055228363285177,2.852766715796115e-05,3.307200667837212e-09,0.013764258804776936,0.21558030512840443,3.330738824195388e-06,0.00032365149522290624
"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",ef86245c-837b-3555-b556-d1f5346f2f76,1.0,MJ,0.16704994901241077,0.00030244306819618856,1.8832577987863603e-05,1.8607406185856589e-09,0.00750550909772843,0.15932707099862456,1.775965045900358e-06,0.00025740543162533556
Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,eb5a96ac-8afe-33f5-9d84-989feb43565e,1.0,MJ,0.14563451983226253,0.0002370670464415379,1.3860976955771797e-05,1.662426460102759e-09,0.005036839821912271,0.13967848873633718,2.0102113160118155e-06,0.00019186722866683847
natural gas extraction and processing - Gulf,f744690b-98a0-3a09-bf7d-70ec6fcb4cae,1.0,MJ,0.024926560507813684,0.0002112505184762138,1.3215825512550272e-05,0.0,0.007334119188963788,0.01729812185932712,1.319211749424182e-07,0.0002711956977033621
Electricity; at grid; consumption mix - Seminole Electric Cooperative - BA,db2921f6-74d4-3e2f-9524-417d2e19c826,1.0,MJ,0.23826007086347045,0.0003683139722551601,1.5880320952480237e-05,3.6167272615911398e-09,0.006228390325063157,0.22918081447780134,3.248360805139835e-06,0.0002922408893506119
petroleum extraction and processing - DFO PADD 1,28a4dbbe-c940-3d65-a006-cbacbda7d2fb,1.0,MJ,0.025159173477587615,3.0666972875820304e-05,1.795767629366402e-06,2.221783959646103e-11,0.0007483017844050325,0.02034127516474295,1.7730368554808533e-07,0.00017016845938106037
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,c69563ec-887a-35ca-acc5-820ae0ba5f72,1.0,MJ,0.14502201954085156,0.0003076057547021379,1.3615022421542553e-05,2.2135424716882684e-09,0.004989915585645614,0.13878611080336234,1.8159682180084362e-06,0.00020347881448234433
Electricity; at user; consumption mix - ERCOT - FERC,b16ca0d0-3f5c-3a24-a398-3bda3ffe06bd,1.0,MJ,0.18110686248134292,0.0005124120883296153,2.6743847861918645e-05,2.127460284181732e-09,0.011747768003185582,0.1705349156141438,1.6778511182891537e-06,0.00036038913849271217
"Electricity; at grid; generation mix - Griffith Energy, LLC",efff7f7a-91cc-3714-ab36-77e9c7f4c761,1.0,MJ,0.16029376122782124,0.00024340894369696925,1.661275694126162e-05,1.2511888452175061e-10,0.008581506460189722,0.13502670966724192,4.952865561141813e-07,0.0008971732451006188
natural gas extraction and processing - South Oklahoma,02ff55dd-7b02-307d-a1cf-1d6e8ead399c,1.0,MJ,0.020535483318146686,0.00017201548822429587,1.0767544793283435e-05,0.0,0.006043621607633475,0.014763596140891976,1.2687492719234086e-07,0.00020493804714723758
