USZIP,County,City,State,State_Code
45684,Scioto,Stout,Ohio,OH
50673,Grundy,Stout,Iowa,IA
2072,Norfolk,Stoughton,Massachusetts,MA
53589,Dane,Stoughton,Wisconsin,WI
65756,Lawrence,Stotts city,Missouri,MO
64752,Bates,Stotesbury,Missouri,MO
50248,Story,Story city,Iowa,IA
71970,Montgomery,Story,Arkansas,AR
82842,Sheridan,Story,Wyoming,WY
6268,Tolland,Storrs mansfield,Connecticut,CT
12582,Dutchess,Stormville,New york,NY
50588,Buena Vista,Storm lake,Iowa,IA
56174,Cottonwood,Storden,Minnesota,MN
95979,Colusa,Stonyford,California,CA
10980,Rockland,Stony point,New york,NY
28678,Alexander,Stony point,North carolina,NC
12878,Warren,Stony creek,New york,NY
23882,Sussex,Stony creek,Virginia,VA
11790,Suffolk,Stony brook,New york,NY
24927,Pocahontas,Stony bottom,West virginia,WV
4681,Hancock,Stonington,Maine,ME
6378,New London,Stonington,Connecticut,CT
62567,Christian,Stonington,Illinois,IL
40988,Bell,Stoney fork,Kentucky,KY
39363,Clarke,Stonewall,Mississippi,MS
71078,De Soto Parish,Stonewall,Louisiana,LA
27048,Rockingham,Stoneville,North carolina,NC
57787,Meade,Stoneville,South dakota,SD
2180,Middlesex,Stoneham,Massachusetts,MA
80754,Weld,Stoneham,Colorado,CO
24285,Wise,Stonega,Virginia,VA
62987,Saline,Stonefort,Illinois,IL
16153,Mercer,Stoneboro,Pennsylvania,PA
12484,Ulster,Stone ridge,New york,NY
60165,Cook,Stone park,Illinois,IL
30083,DeKalb,Stone mountain,Georgia,GA
30087,DeKalb,Stone mountain,Georgia,GA
30088,DeKalb,Stone mountain,Georgia,GA
54876,Sawyer,Stone lake,Wisconsin,WI
8247,Cape May,Stone harbor,New jersey,NJ
43840,Tuscarawas,Stone creek,Ohio,OH
41567,Pike,Stone,Kentucky,KY
27357,Rockingham,Stokesdale,North carolina,NC
27884,Pitt,Stokes,North carolina,NC
3464,Cheshire,Stoddard,New hampshire,NH
54658,Vernon,Stoddard,Wisconsin,WI
47983,Tippecanoe,Stockwell,Indiana,IN
69042,Frontier,Stockville,Nebraska,NE
4981,Waldo,Stockton springs,Maine,ME
8559,Hunterdon,Stockton,New jersey,NJ
14784,Chautauqua,Stockton,New york,NY
21864,Worcester,Stockton,Maryland,MD
31649,Lanier,Stockton,Georgia,GA
36579,Baldwin,Stockton,Alabama,AL
52769,Muscatine,Stockton,Iowa,IA
55988,Winona,Stockton,Minnesota,MN
61085,Jo Daviess,Stockton,Illinois,IL
65785,Cedar,Stockton,Missouri,MO
67669,Rooks,Stockton,Kansas,KS
84071,Tooele,Stockton,Utah,UT
95202,San Joaquin,Stockton,California,CA
95203,San Joaquin,Stockton,California,CA
95204,San Joaquin,Stockton,California,CA
95205,San Joaquin,Stockton,California,CA
95206,San Joaquin,Stockton,California,CA
95207,San Joaquin,Stockton,California,CA
95209,San Joaquin,Stockton,California,CA
95210,San Joaquin,Stockton,California,CA
95212,San Joaquin,Stockton,California,CA
95215,San Joaquin,Stockton,California,CA
95219,San Joaquin,Stockton,California,CA
52651,Van Buren,Stockport,Iowa,IA
60967,Iroquois,Stockland,Illinois,IL
4783,Aroostook,Stockholm,Maine,ME
7460,Sussex,Stockholm,New jersey,NJ
54769,Pepin,Stockholm,Wisconsin,WI
57264,Grant,Stockholm,South dakota,SD
59480,Cascade,Stockett,Montana,MT
18083,Northampton,Stockertown,Pennsylvania,PA
15483,Washington,Stockdale,Pennsylvania,PA
78160,Wilson,Stockdale,Texas,TX
1262,Berkshire,Stockbridge,Massachusetts,MA
5772,Windsor,Stockbridge,Vermont,VT
30281,Henry,Stockbridge,Georgia,GA
49285,Ingham,Stockbridge,Michigan,MI
53088,Calumet,Stockbridge,Wisconsin,WI
53825,Grant,Stitzer,Wisconsin,WI
13469,Oneida,Stittville,New york,NY
83552,Idaho,Stites,Idaho,ID
58069,Sargent,Stirum,North dakota,ND
95978,Butte,Stirling city,California,CA
7980,Morris,Stirling,New jersey,NJ
94970,Marin,Stinson beach,California,CA
40868,Leslie,Stinnett,Kentucky,KY
79083,Hutchinson,Stinnett,Texas,TX
47464,Monroe,Stinesville,Indiana,IN
66085,Johnson,Stilwell,Kansas,KS
74960,Adair,Stilwell,Oklahoma,OK
31329,Effingham,Stillwell,Georgia,GA
12170,Saratoga,Stillwater,New york,NY
17878,Columbia,Stillwater,Pennsylvania,PA
74074,Payne,Stillwater,Oklahoma,OK
74075,Payne,Stillwater,Oklahoma,OK
